 #M_ecl   m_max
   1825274.62       150.000000    
   1850585.62       150.000000    
   1876247.62       150.000000    
   1902265.50       150.000000    
   1928644.12       150.000000    
   1955388.50       150.000000    
   1982506.00       150.000000    
   2009997.25       150.000000    
   2037869.88       150.000000    
   2066128.88       150.000000    
   2094779.88       150.000000    
   2123828.00       150.000000    
   2153279.00       150.000000    
   2183138.50       150.000000    
   2213414.50       150.000000    
   2244107.75       150.000000    
   2275226.75       150.000000    
   2306777.25       150.000000    
   2338765.00       150.000000    
   2371196.75       150.000000    
   2404078.00       150.000000    
   2437417.75       150.000000    
   2471217.50       150.000000    
   2505485.75       150.000000    
   2540229.25       150.000000    
   2575454.50       150.000000    
   2611168.00       150.000000    
   2647377.00       150.000000    
   2684088.00       150.000000    
   2721311.25       150.000000    
   2759047.50       150.000000    
   2797307.00       150.000000    
   2836097.25       150.000000    
   2875425.25       150.000000    
   2915298.75       150.000000    
   2955725.00       150.000000    
   2996712.00       150.000000    
   3038270.50       150.000000    
   3080402.00       150.000000    
   3123117.75       150.000000    
   3166426.00       150.000000    
   3210334.75       150.000000    
   3254852.25       150.000000    
   3299987.25       150.000000    
   3345751.50       150.000000    
   3392147.00       150.000000    
   3439185.75       150.000000    
   3486876.75       150.000000    
   3535229.25       150.000000    
   3584252.00       150.000000    
   3633954.75       150.000000    
   3684346.50       150.000000    
   3735441.25       150.000000    
   3787240.50       150.000000    
   3839758.00       150.000000    
   3893003.75       150.000000    
   3946988.00       150.000000    
   4001720.50       150.000000    
   4057212.25       150.000000    
   4113473.50       150.000000    
   4170519.50       150.000000    
   4228352.00       150.000000    
   4286986.00       150.000000    
   4346433.50       150.000000    
   4406705.50       150.000000    
   4467813.00       150.000000    
   4529768.00       150.000000    
   4592582.00       150.000000    
   4656272.50       150.000000    
   4720840.50       150.000000    
   4786304.50       150.000000    
   4852676.00       150.000000    
   4919967.50       150.000000    
